frame,class,class_method
1,None,acquisition
2,None,acquisition
3,None,acquisition
4,None,acquisition
5,None,acquisition
6,None,acquisition
7,None,acquisition
8,None,acquisition
9,None,acquisition
10,None,acquisition
11,None,acquisition
12,None,acquisition
13,None,acquisition
14,None,acquisition
15,None,acquisition
16,None,acquisition
17,None,acquisition
18,None,acquisition
19,None,acquisition
20,None,acquisition
21,None,acquisition
22,None,acquisition
23,None,acquisition
24,None,acquisition
25,None,acquisition
26,None,acquisition
27,None,acquisition
28,None,acquisition
29,None,acquisition
30,None,acquisition
31,None,acquisition
32,None,acquisition
33,None,acquisition
34,None,acquisition
35,None,acquisition
36,None,acquisition
37,None,acquisition
38,None,acquisition
39,None,acquisition
40,None,acquisition
41,None,acquisition
42,None,acquisition
43,None,acquisition
44,None,acquisition
45,None,acquisition
46,None,acquisition
47,None,acquisition
48,None,acquisition
49,None,acquisition
50,None,acquisition
51,None,acquisition
52,None,acquisition
53,None,acquisition
54,None,acquisition
55,None,acquisition
56,None,acquisition
57,None,acquisition
58,None,acquisition
59,None,acquisition
60,None,acquisition
61,None,acquisition
62,None,acquisition
63,None,acquisition
64,None,acquisition
65,None,acquisition
66,None,acquisition
67,None,acquisition
68,None,acquisition
69,None,acquisition
70,None,acquisition
71,None,acquisition
72,None,acquisition
73,None,acquisition
74,None,acquisition
75,None,acquisition
76,None,acquisition
77,None,acquisition
78,None,acquisition
79,None,acquisition
80,None,acquisition
81,None,acquisition
82,None,acquisition
83,None,acquisition
84,None,acquisition
85,None,acquisition
86,None,acquisition
87,None,acquisition
88,None,acquisition
89,None,acquisition
90,None,acquisition
91,None,acquisition
92,None,acquisition
93,None,acquisition
94,None,acquisition
95,None,acquisition
96,None,acquisition
97,None,acquisition
98,None,acquisition
99,None,acquisition
100,None,acquisition
101,None,acquisition
102,None,acquisition
103,None,acquisition
104,None,acquisition
105,None,acquisition
106,None,acquisition
107,None,acquisition
108,None,acquisition
109,None,acquisition
110,None,acquisition
111,None,acquisition
112,None,acquisition
113,None,acquisition
114,None,acquisition
115,None,acquisition
116,None,acquisition
117,None,acquisition
118,None,acquisition
119,None,acquisition
120,None,acquisition
121,None,acquisition
122,None,acquisition
123,None,acquisition
124,None,acquisition
125,None,acquisition
126,None,acquisition
127,None,acquisition
128,None,acquisition
129,None,acquisition
130,None,acquisition
131,None,acquisition
132,None,acquisition
133,None,acquisition
134,None,acquisition
135,None,acquisition
136,None,acquisition
137,None,acquisition
138,None,acquisition
139,None,acquisition
140,None,acquisition
141,None,acquisition
142,None,acquisition
143,None,acquisition
144,None,acquisition
145,None,acquisition
146,None,acquisition
147,None,acquisition
148,None,acquisition
149,None,acquisition
150,None,acquisition
151,None,acquisition
152,None,acquisition
153,None,acquisition
154,None,acquisition
155,None,acquisition
156,None,acquisition
157,None,acquisition
158,None,acquisition
159,None,acquisition
160,None,acquisition
161,None,acquisition
162,None,acquisition
163,None,acquisition
164,None,acquisition
165,None,acquisition
166,None,acquisition
167,None,acquisition
168,None,acquisition
169,None,acquisition
170,None,acquisition
171,None,acquisition
172,None,acquisition
173,None,acquisition
174,None,acquisition
175,None,acquisition
176,None,acquisition
177,None,acquisition
178,None,acquisition
179,None,acquisition
180,None,acquisition
181,None,acquisition
182,None,acquisition
183,None,acquisition
184,None,acquisition
185,None,acquisition
186,None,acquisition
187,None,acquisition
188,None,acquisition
189,None,acquisition
190,None,acquisition
191,None,acquisition
192,None,acquisition
193,None,acquisition
194,None,acquisition
