frame,class,class_method
1,None,acquisition
2,None,acquisition
3,None,acquisition
4,None,acquisition
5,None,acquisition
6,None,acquisition
7,None,acquisition
8,None,acquisition
9,None,acquisition
10,None,acquisition
11,None,acquisition
12,None,acquisition
13,None,acquisition
14,None,acquisition
15,None,acquisition
16,None,acquisition
17,None,acquisition
18,None,acquisition
19,None,acquisition
20,None,acquisition
21,None,acquisition
22,None,acquisition
23,None,acquisition
24,None,acquisition
25,None,acquisition
26,None,acquisition
27,None,acquisition
28,None,acquisition
29,None,acquisition
30,None,acquisition
31,None,acquisition
32,None,acquisition
33,None,acquisition
34,None,acquisition
35,None,acquisition
36,None,acquisition
37,None,acquisition
38,None,acquisition
39,None,acquisition
40,None,acquisition
41,None,acquisition
42,None,acquisition
43,None,acquisition
44,None,acquisition
45,None,acquisition
46,None,acquisition
47,None,acquisition
48,None,acquisition
49,None,acquisition
50,None,acquisition
51,None,acquisition
52,None,acquisition
53,None,acquisition
54,None,acquisition
55,None,acquisition
56,None,acquisition
57,None,acquisition
58,None,acquisition
59,None,acquisition
60,None,acquisition
61,None,acquisition
62,None,acquisition
63,None,acquisition
64,None,acquisition
65,None,acquisition
66,None,acquisition
67,None,acquisition
68,None,acquisition
69,None,acquisition
70,None,acquisition
71,None,acquisition
72,None,acquisition
73,None,acquisition
74,None,acquisition
75,None,acquisition
76,None,acquisition
77,None,acquisition
78,None,acquisition
79,None,acquisition
80,None,acquisition
81,None,acquisition
82,None,acquisition
83,None,acquisition
84,None,acquisition
85,None,acquisition
86,None,acquisition
87,None,acquisition
88,None,acquisition
89,None,acquisition
90,None,acquisition
91,None,acquisition
92,None,acquisition
93,None,acquisition
94,None,acquisition
95,None,acquisition
96,None,acquisition
97,None,acquisition
98,None,acquisition
99,None,acquisition
100,None,acquisition
101,None,acquisition
102,None,acquisition
103,None,acquisition
104,None,acquisition
105,None,acquisition
106,None,acquisition
107,None,acquisition
108,None,acquisition
109,None,acquisition
110,SCREEN,acquisition
111,SCREEN,acquisition
112,SCREEN,acquisition
113,SCREEN,acquisition
114,SCREEN,acquisition
115,SCREEN,acquisition
116,SCREEN,acquisition
117,SCREEN,acquisition
118,SCREEN,acquisition
119,SCREEN,acquisition
120,SCREEN,acquisition
121,SCREEN,acquisition
122,SCREEN,acquisition
123,SCREEN,acquisition
124,SCREEN,acquisition
125,SCREEN,acquisition
126,SCREEN,acquisition
127,SCREEN,acquisition
128,SCREEN,acquisition
129,SCREEN,acquisition
130,SCREEN,acquisition
131,SCREEN,acquisition
132,SCREEN,acquisition
133,SCREEN,acquisition
134,SCREEN,acquisition
135,SCREEN,acquisition
136,SCREEN,acquisition
137,SCREEN,acquisition
138,SCREEN,acquisition
139,SCREEN,acquisition
140,SCREEN,acquisition
141,SCREEN,acquisition
142,SCREEN,acquisition
143,SCREEN,acquisition
144,SCREEN,acquisition
145,SCREEN,acquisition
146,SCREEN,acquisition
147,SCREEN,acquisition
148,SCREEN,acquisition
149,SCREEN,acquisition
150,SCREEN,acquisition
151,SCREEN,acquisition
152,SCREEN,acquisition
153,SCREEN,acquisition
154,SCREEN,acquisition
155,SCREEN,acquisition
156,SCREEN,acquisition
157,SCREEN,acquisition
158,SCREEN,acquisition
159,SCREEN,acquisition
160,SCREEN,acquisition
161,SCREEN,acquisition
162,SCREEN,acquisition
163,SCREEN,acquisition
164,SCREEN,acquisition
165,SCREEN,acquisition
166,SCREEN,acquisition
167,SCREEN,acquisition
168,SCREEN,acquisition
